,Unnamed: 0,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction,cluster
143,143,NonStateArmedGroups,1.0,0.0,2018-04-01 00:00:00,0.0,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,1
144,144,NoInformation,0.0,0.0,2018-01-13 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
145,145,NonStateArmedGroups,0.0,1.0,2018-01-19 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
146,146,NoInformation,0.0,0.0,2018-01-22 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
147,147,NoInformation,0.0,0.0,2018-01-24 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
148,148,NoInformation,0.0,0.0,2018-01-27 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
149,149,StateActor,0.0,0.0,2018-02-08 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,1.0,1
150,150,NoInformation,0.0,3.0,2018-03-09 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
151,151,NonStateArmedGroups,0.0,1.0,2018-05-13 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,1.0,0.0,1
152,152,NonStateArmedGroups,0.0,0.0,2018-06-11 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
153,153,NoInformation,0.0,0.0,2018-06-12 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,1.0,0.0,1
154,154,NoInformation,1.0,0.0,2018-09-10 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,1
155,155,NoInformation,0.0,0.0,2018-12-14 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,1.0,0.0,1
156,156,NoInformation,0.0,0.0,2018-01-08 00:00:00,0.0,Libya,0.0,0.0,0.0,1.0,0.0,0.0,1
157,157,NoInformation,0.0,0.0,2018-01-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
158,158,NoInformation,0.0,0.0,2018-02-06 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
159,159,NoInformation,0.0,0.0,2018-02-07 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
160,160,NonStateArmedGroups,0.0,0.0,2018-02-09 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
161,161,NoInformation,0.0,0.0,2018-02-14 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
162,162,NoInformation,0.0,0.0,2018-02-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
163,163,NoInformation,1.0,0.0,2018-02-28 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0,1
164,164,NoInformation,0.0,0.0,2018-03-18 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
165,165,NoInformation,0.0,0.0,2018-03-28 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
166,166,NoInformation,0.0,0.0,2018-03-30 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
167,167,NoInformation,0.0,0.0,2018-04-02 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
168,168,NoInformation,0.0,0.0,2018-04-19 00:00:00,0.0,Libya,0.0,0.0,0.0,1.0,0.0,0.0,1
169,169,NoInformation,1.0,0.0,2018-04-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
170,170,NoInformation,1.0,0.0,2018-06-07 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
171,171,NoInformation,0.0,0.0,2018-06-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
172,172,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
173,173,NoInformation,0.0,0.0,2018-07-31 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
174,174,NoInformation,0.0,0.0,2018-09-01 00:00:00,0.0,Libya,0.0,2.0,0.0,0.0,0.0,0.0,1
175,175,NoInformation,0.0,0.0,2018-09-19 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
176,176,NoInformation,0.0,0.0,2018-09-20 00:00:00,0.0,Libya,0.0,0.0,1.0,0.0,0.0,0.0,1
177,177,NoInformation,0.0,0.0,2018-09-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
178,178,NoInformation,0.0,0.0,2018-10-25 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
179,179,NoInformation,0.0,0.0,2018-10-31 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
180,180,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0,1
181,181,NoInformation,0.0,0.0,2018-11-03 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0,1
182,182,NoInformation,0.0,0.0,2018-11-03 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0,1
183,183,NoInformation,0.0,0.0,2018-11-03 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
184,184,NoInformation,0.0,0.0,2018-11-05 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0,1
185,185,NoInformation,0.0,0.0,2018-11-06 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0,1
186,186,NoInformation,0.0,0.0,2018-11-10 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
187,187,NoInformation,0.0,0.0,2018-11-14 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,2.0,0.0,0
188,188,NoInformation,0.0,0.0,2018-11-14 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
189,189,StateActor,0.0,0.0,2018-11-17 00:00:00,0.0,Libya,1.0,0.0,0.0,0.0,0.0,0.0,1
190,190,NoInformation,0.0,0.0,2018-11-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
191,191,NoInformation,0.0,0.0,2018-11-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
192,192,NoInformation,0.0,0.0,2018-11-24 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
193,193,NoInformation,0.0,0.0,2018-12-05 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0,1
194,194,StateActor,0.0,0.0,2018-12-06 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0,1
