,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
63825,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-07-17,Afghan Security Forces Repel Taliban Attacks in Paktia, 18 Rebels Kill""",Bakhtar News Agency,2020-07-17,Lija Ahmad Khel district,33.81524,69.633808,Afghanistan,Asia,2020-07-16,2020-07-16,0,6,0,0,6,6,6,3
63829,2020,State,Government of Afghanistan,Taleban,3,"""Khaama Press,2020-07-13,Afghan forces suffer casualties in Taliban attack in Parwan province"";""Reuters News,2020-07-13,Taliban attack on Afghan government compound kills 10, wounds dozens"";""NYTimes.com Feed,2020-07-09,Afghan War Casualty Report: July 2020""",Khaama Press;Reuters News;NYTimes.com Feed,2020-07-13;2020-07-13;2020-07-09,Ashtar Shahr area,35.015284,68.947735,Afghanistan,Asia,2020-07-12,2020-07-13,1,1,0,0,2,3,2,3
63830,2020,State,Government of Afghanistan,Taleban,3,"""Reuters News,2020-07-13,Taliban attack on Afghan government compound kills 10, wounds dozens"";""NYTimes.com Feed,2020-07-09,Afghan War Casualty Report: July 2020"";""Khaama Press,2020-07-13,Afghan forces suffer casualties in Taliban attack in Parwan province""",Reuters News;NYTimes.com Feed;Khaama Press,2020-07-13;2020-07-09;2020-07-13,Daraz Gird village,35.0086,68.9036,Afghanistan,Asia,2020-07-12,2020-07-13,1,1,0,0,2,2,3,3
63849,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-07-24,Roundup: Over 50 killed after gov't forces repel Taliban attacks in southern Afghanistan""",Xinhua News Agency,2020-07-24,Shahjoy district,32.495924,67.394208,Afghanistan,Asia,2020-07-23,2020-07-23,0,8,0,0,8,9,8,1
63850,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-07-24,Roundup: Over 50 killed after gov't forces repel Taliban attacks in southern Afghanistan""",Xinhua News Agency,2020-07-24,Shinkay district,31.918721,67.151789,Afghanistan,Asia,2020-07-23,2020-07-23,0,8,0,0,8,8,9,1
63851,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-07-06,MoI: 19 Terrorists Kill, 12 Wounded in Zabul""",Bakhtar News Agency,2020-07-06,Qalat town,32.10368,66.905121,Afghanistan,Asia,2020-07-04,2020-07-06,0,9,0,0,9,10,9,1
63852,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-07-21,Afghan Security Forces Target Taliban Gathering, 12 Rebels Kill""",Bakhtar News Agency,2020-07-21,Atghar district,31.725736,67.390181,Afghanistan,Asia,2020-07-19,2020-07-21,0,6,0,0,6,6,6,1
63856,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-06-18,MoI: 50 Taliban Fighters Kill, Wounded in 3 Provinces""",Bakhtar News Agency,2020-06-18,Ghazni province,33.33333,67.75,Afghanistan,Asia,2020-06-16,2020-06-18,0,6,0,0,6,6,6,3
63857,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-08-11,Roundup: Afghans slam violence as 44 killed following prisoners swap""",Xinhua News Agency,2020-08-11,Khost province,33.383334,69.883334,Afghanistan,Asia,2020-08-10,2020-08-11,0,11,0,0,11,12,11,3
63860,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-06-28,33 Terrorists Kill, Wounded in Three Provinces""",Bakhtar News Agency,2020-06-28,Ahmadabad district,33.773795,69.339813,Afghanistan,Asia,2020-06-26,2020-06-28,0,5,0,0,5,5,5,3
