,,,deaths_a,deaths_a,deaths_a,deaths_a,deaths_b,deaths_b,deaths_b,deaths_b,deaths_unknown,deaths_unknown,deaths_unknown,deaths_unknown,best,best,best,best
,,,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean
region,country,year,,,,,,,,,,,,,,,,
Americas,Venezuela,2021,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,21,1,19,7.0
Americas,Venezuela,2022,0,0,0,0.0,0,0,0,0.0,4,0,1,0.2857142857142857,24,1,4,1.7142857142857142
Asia,Afghanistan,2018,4298,0,150,1.1544453397797476,19877,0,292,5.338973945742681,856,0,139,0.22992210582863282,26889,0,576,7.222401289282836
Asia,Afghanistan,2019,4568,0,126,0.9756514310123878,23815,0,100,5.086501495087569,293,0,26,0.06258009397693294,30435,0,130,6.500427167876976
Asia,Afghanistan,2020,5715,0,1562,1.7229424178474526,13341,0,170,4.0220078384082,131,0,26,0.03949351823937293,20834,0,1562,6.280976786252638
Asia,Afghanistan,2021,3526,0,65,0.7814716312056738,30824,0,190,6.831560283687943,286,0,144,0.06338652482269504,36386,0,190,8.06427304964539
Asia,Afghanistan,2022,421,0,39,1.0369458128078817,333,0,43,0.8201970443349754,74,0,26,0.18226600985221675,1545,0,66,3.8054187192118225
Asia,Australia,2018,0,0,0,0.0,1,0,1,0.5,0,0,0,0.0,2,1,1,1.0
Asia,Bangladesh,2018,10,0,1,0.5,8,0,3,0.4,7,0,6,0.35,28,0,6,1.4
Asia,Bangladesh,2019,0,0,0,0.0,3,0,2,1.0,0,0,0,0.0,3,0,2,1.0
Asia,Bangladesh,2020,0,0,0,0.0,1,0,1,0.2,0,0,0,0.0,5,1,1,1.0
Asia,Bangladesh,2021,0,0,0,0.0,1,0,1,0.3333333333333333,0,0,0,0.0,2,0,1,0.6666666666666666
Asia,Bangladesh,2022,1,0,1,0.125,3,0,3,0.375,0,0,0,0.0,13,1,4,1.625
Asia,India,2018,228,0,9,0.4769874476987448,534,0,34,1.1171548117154813,10,0,6,0.02092050209205021,950,0,34,1.9874476987447698
Asia,India,2019,181,0,45,0.5112994350282486,371,0,12,1.0480225988700564,22,0,6,0.062146892655367235,734,0,46,2.073446327683616
