,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
33461,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-04,Old ordnance explosions | Landmine explodes nearby Idlib city killing child""",SOHR,2020-06-04,Idlib town,35.93062,36.63393,Syria,Middle East,2020-06-04,2020-06-04,0,0,0,0,0,1,0,3
33462,2020,Non-State,SNA,SDF,1,"""SOHR,2020-06-04,Al-Raqqah | SDF group sneaks into Turkish-backed fighters’ position leaving six dead or wounded""",SOHR,2020-06-04,Tall Abyad town,36.697508,38.956658,Syria,Middle East,2020-06-04,2020-06-04,2,0,0,0,2,2,2,0
33463,2020,One-Sided,Syrian insurgents,Civilians,1,"""SOHR,2020-06-04,Old man dies of earlier injury during indiscriminate gunfire by Turkish-backed factions in north-eastern Aleppo""",SOHR,2020-06-04,Tukhar Kabir village,36.641232,37.976079,Syria,Middle East,2020-06-02,2020-06-02,0,0,1,0,1,1,1,0
33481,2020,State,Government of Iran,Government of Israel,4,"""SOHR,2020-06-04,Israeli attacks | Airstrikes on the vicinity of Masyaf cause human and material losses in western rural Hama"";""SOHR,2020-06-07,Nine Syrian regime loyalists killed in Israeli air raids"";""SOHR,2020-06-05,Nine Syria regime loyalists killed in Israeli air strikes: Monitor"";""International Crisis Group,2020-06-30,Syria JUNE 2020""",SOHR;SOHR;SOHR;International Crisis Group,2020-06-04;2020-06-07;2020-06-05;2020-06-30,Zawi village,35.161621,36.339107,Syria,Middle East,2020-06-04,2020-06-04,5,0,0,4,9,9,9,3
33484,2020,One-Sided,Government of Syria,Civilians,1,"""SOHR,2020-06-04,Regime violations | Shelling kills child in Idlib countryside, while Russian jets flying over “Putin-Erdogan” area""",SOHR,2020-06-04,Afes town,35.906374,36.801319,Syria,Middle East,2020-06-04,2020-06-04,0,0,1,0,1,1,1,3
33488,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-05,Deteriorating security | Four persons killed in two assassinations in Daraa city and countryside""",SOHR,2020-06-05,Gharaz Prison,32.595556,36.158333,Syria,Middle East,2020-06-05,2020-06-05,2,0,0,0,2,2,2,2
33489,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-05,Idlib | One Turkish soldier found dead and another seriously injured""",SOHR,2020-06-05,Sarmin town,35.90403,36.72501,Syria,Middle East,2020-06-05,2020-06-05,0,0,0,0,0,1,0,3
33490,2020,Non-State,Ahrar al-Sharqiya,"al-Moutasem Brigade, Hamza Division",2,"""SOHR,2020-06-05,Ras al-Ain | Car-bomb explodes leaving causalities, including children"";""Golan Times,2020-06-06,Infighting erupts among Turkish regime mercenaries in Ras al-Ayn""",SOHR;Golan Times,2020-06-05;2020-06-06,Ras al Ayn town,36.850336,40.070555,Syria,Middle East,2020-06-05,2020-06-05,0,0,2,0,2,2,2,1
33493,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-06,“De-escalation zone” | Fierce clashes erupt between opposition factions and regime forces in southern Idlib""",SOHR,2020-06-06,Fulayfil village,35.58897,36.45548,Syria,Middle East,2020-06-06,2020-06-06,2,2,0,0,4,4,4,3
33495,2020,State,Government of Iran,Government of Israel,3,"""SOHR,2020-06-07,Drones attacks | 12 Iranian-backed militiamen killed in airstrikes on their positions in eastern Deir Ezzor"";""SOHR,2020-06-08,Israeli army admits to air strikes in Syria, Lebanon"";""SOHR,2020-06-08,The pound falls yet further, pro-Iranian fighters killed, car bomb attack kills eight, a new coronavirus case and Cuba condemns Caesar Act. Catch up on everything that happened over the weekend.""",SOHR;SOHR;SOHR,2020-06-07;2020-06-08;2020-06-08,Muayzilah village,34.618056,40.454722,Syria,Middle East,2020-06-07,2020-06-07,12,0,0,0,12,12,12,1
33496,2020,Non-State,SNA,SDF,1,"""SOHR,2020-06-07,Aleppo | Fierce clashes erupt between Turkish-backed factions and Kurdish forces in Mare’""",SOHR,2020-06-07,Marea town,36.48259,37.19709,Syria,Middle East,2020-06-07,2020-06-07,2,2,0,0,4,4,4,3
33772,2020,State,Government of Syria,Syrian insurgents,2,"""SOHR,2020-06-08,Hama | 25 regime soldiers and jihadists killed in violent attack by jihadists on Sahl al-Ghab, and factions capture two villages"";""SOHR,2020-06-08,Sahl Al-Ghab | Regime forces recapture areas from jihadist groups, and death toll among both sides reaches 41 in shelling and clashes""",SOHR;SOHR,2020-06-08;2020-06-08,Tanjarah village,35.586926,36.356676,Syria,Middle East,2020-06-08,2020-06-08,19,22,0,0,41,41,41,3
33774,2020,State,Government of Syria,Syrian insurgents,2,"""SOHR,2020-06-08,For first time since the ceasefire | Russian jets strike ten areas in rural Hama and Idlib, leaving casualties"";""Airwars,2020-06-08,R4263""",SOHR;Airwars,2020-06-08;2020-06-08,Mozra village,35.660295,36.43666,Syria,Middle East,2020-06-08,2020-06-08,0,0,2,0,2,2,1,3
33780,2020,Non-State,IS,SDF,1,"""SOHR,2020-06-08,Rural Al-Hasakeh | IED explodes killing two persons""",SOHR,2020-06-08,Gharb village,36.159849,40.688235,Syria,Middle East,2020-06-08,2020-06-08,0,0,0,0,0,2,0,1
33781,2020,State,Government of Syria,Syrian insurgents,4,"""SOHR,2020-06-09,First civilian fatality by Russian jets since ceasefire | 15 airstrikes pound Jabal Al-Zawiyah"";""Airwars,2020-06-09,R4264"";""SOHR,2020-06-12,“De-escalation zone” | Woman killed in earlier Russian airstrikes, and Turkish forces reinforce their positions"";""United Nations Human Rights Council,2020-09-15,21st report of the Commission of Inquiry on the Syrian Arab Republic - A/HRC/45/31""",SOHR;Airwars;SOHR;United Nations Human Rights Council,2020-06-09;2020-06-09;2020-06-12;2020-09-15,Balyun village,35.69568,36.50841,Syria,Middle East,2020-06-09,2020-06-09,0,0,2,0,2,2,2,3
33782,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-09,Syrian desert | Clashes and exchange of fire between regime forces and “Jaysh Maghawir al-Thawra” in Al-Tanaf area""",SOHR,2020-06-09,At Tanf village,33.489518,38.656978,Syria,Middle East,2020-06-09,2020-06-09,0,0,0,2,2,2,2,0
