,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction
119,NonStateArmedGroups,0.0,0.0,2018-02-05 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
120,UnspecNonMilArmed,0.0,0.0,2018-02-09 00:00:00,0.0,DRC,0.0,0.0,0.0,1.0,0.0,0.0
121,UnspecNonMilArmed,0.0,0.0,2018-02-26 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
122,UnspecNonMilArmed,1.0,0.0,2018-02-26 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
123,UnspecNonMilArmed,0.0,0.0,2018-03-05 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
124,UnspecNonMilArmed,0.0,1.0,2018-06-08 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
125,NoInformation,0.0,0.0,2018-06-12 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
126,UnspecNonMilArmed,0.0,0.0,2018-07-12 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
127,NonStateArmedGroups,0.0,0.0,2018-08-19 00:00:00,0.0,DRC,0.0,0.0,0.0,4.0,0.0,0.0
128,UnspecNonMilArmed,0.0,0.0,2018-09-22 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
129,NonStateArmedGroups,0.0,2.0,2018-10-21 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
130,NonStateArmedGroups,0.0,0.0,2018-11-07 00:00:00,0.0,DRC,0.0,0.0,0.0,1.0,0.0,0.0
131,UnspecNonMilArmed,0.0,0.0,2018-11-16 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
132,UnspecNonMilArmed,0.0,0.0,2018-11-16 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
133,NonStateArmedGroups,0.0,0.0,2018-11-16 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
134,NoInformation,0.0,0.0,2018-11-20 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
135,UnspecNonMilArmed,0.0,0.0,2018-11-20 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
136,NonStateArmedGroups,0.0,0.0,2018-11-21 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
137,NoInformation,0.0,0.0,2018-12-04 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,2.0
138,NoInformation,0.0,0.0,2018-12-10 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
139,NonStateArmedGroups,0.0,0.0,2018-12-12 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
140,NonStateArmedGroups,0.0,0.0,2018-08-27 00:00:00,1.0,Egypt,0.0,0.0,0.0,0.0,2.0,0.0
141,NonStateArmedGroups,3.0,0.0,2018-07-15 00:00:00,0.0,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0
142,UnspecNonMilArmed,0.0,0.0,2018-03-29 00:00:00,0.0,Indonesia,0.0,0.0,0.0,1.0,0.0,0.0
143,NonStateArmedGroups,1.0,0.0,2018-04-01 00:00:00,0.0,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0
144,NoInformation,0.0,0.0,2018-01-13 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
145,NonStateArmedGroups,0.0,1.0,2018-01-19 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
146,NoInformation,0.0,0.0,2018-01-22 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
147,NoInformation,0.0,0.0,2018-01-24 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
148,NoInformation,0.0,0.0,2018-01-27 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
149,StateActor,0.0,0.0,2018-02-08 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,1.0
150,NoInformation,0.0,3.0,2018-03-09 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
151,NonStateArmedGroups,0.0,1.0,2018-05-13 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,1.0,0.0
152,NonStateArmedGroups,0.0,0.0,2018-06-11 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
153,NoInformation,0.0,0.0,2018-06-12 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,1.0,0.0
154,NoInformation,1.0,0.0,2018-09-10 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
155,NoInformation,0.0,0.0,2018-12-14 00:00:00,0.0,Iraq,0.0,0.0,0.0,0.0,1.0,0.0
156,NoInformation,0.0,0.0,2018-01-08 00:00:00,0.0,Libya,0.0,0.0,0.0,1.0,0.0,0.0
157,NoInformation,0.0,0.0,2018-01-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
158,NoInformation,0.0,0.0,2018-02-06 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
159,NoInformation,0.0,0.0,2018-02-07 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
160,NonStateArmedGroups,0.0,0.0,2018-02-09 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
161,NoInformation,0.0,0.0,2018-02-14 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
162,NoInformation,0.0,0.0,2018-02-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
163,NoInformation,1.0,0.0,2018-02-28 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
164,NoInformation,0.0,0.0,2018-03-18 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
165,NoInformation,0.0,0.0,2018-03-28 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
166,NoInformation,0.0,0.0,2018-03-30 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
167,NoInformation,0.0,0.0,2018-04-02 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
168,NoInformation,0.0,0.0,2018-04-19 00:00:00,0.0,Libya,0.0,0.0,0.0,1.0,0.0,0.0
169,NoInformation,1.0,0.0,2018-04-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
170,NoInformation,1.0,0.0,2018-06-07 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
171,NoInformation,0.0,0.0,2018-06-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
172,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
173,NoInformation,0.0,0.0,2018-07-31 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
174,NoInformation,0.0,0.0,2018-09-01 00:00:00,0.0,Libya,0.0,2.0,0.0,0.0,0.0,0.0
175,NoInformation,0.0,0.0,2018-09-19 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
176,NoInformation,0.0,0.0,2018-09-20 00:00:00,0.0,Libya,0.0,0.0,1.0,0.0,0.0,0.0
177,NoInformation,0.0,0.0,2018-09-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
178,NoInformation,0.0,0.0,2018-10-25 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
179,NoInformation,0.0,0.0,2018-10-31 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
180,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
181,NoInformation,0.0,0.0,2018-11-03 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
182,NoInformation,0.0,0.0,2018-11-03 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
183,NoInformation,0.0,0.0,2018-11-03 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
184,NoInformation,0.0,0.0,2018-11-05 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
185,NoInformation,0.0,0.0,2018-11-06 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
186,NoInformation,0.0,0.0,2018-11-10 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
187,NoInformation,0.0,0.0,2018-11-14 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,2.0,0.0
188,NoInformation,0.0,0.0,2018-11-14 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
189,StateActor,0.0,0.0,2018-11-17 00:00:00,0.0,Libya,1.0,0.0,0.0,0.0,0.0,0.0
190,NoInformation,0.0,0.0,2018-11-21 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
191,NoInformation,0.0,0.0,2018-11-23 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
192,NoInformation,0.0,0.0,2018-11-24 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
193,NoInformation,0.0,0.0,2018-12-05 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
194,StateActor,0.0,0.0,2018-12-06 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
195,NoInformation,1.0,0.0,2018-12-11 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
196,NoInformation,0.0,0.0,2018-12-13 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
197,NoInformation,0.0,0.0,2018-12-14 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
198,NonStateArmedGroups,0.0,0.0,2018-12-15 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
199,NoInformation,0.0,0.0,2018-12-22 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
200,NoInformation,1.0,0.0,2018-12-25 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
201,NoInformation,0.0,0.0,2018-12-25 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,1.0,0.0
202,NonStateArmedGroups,0.0,0.0,2018-12-29 00:00:00,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
203,NoInformation,0.0,0.0,2018-03-19 00:00:00,0.0,Mali,0.0,0.0,0.0,0.0,0.0,0.0
204,NoInformation,0.0,0.0,2018-04-03 00:00:00,0.0,Mali,0.0,0.0,2.0,0.0,0.0,0.0
205,NoInformation,0.0,0.0,2018-04-10 00:00:00,0.0,Mali,0.0,0.0,0.0,2.0,0.0,0.0
206,UnspecNonMilArmed,0.0,0.0,2018-04-11 00:00:00,0.0,Mali,0.0,0.0,1.0,0.0,0.0,0.0
207,NoInformation,1.0,0.0,2018-04-20 00:00:00,0.0,Mali,0.0,0.0,0.0,0.0,0.0,0.0
208,UnspecNonMilArmed,0.0,0.0,2018-05-01 00:00:00,0.0,Mali,0.0,0.0,0.0,0.0,0.0,0.0
