,Perpetrator ,Total health worker injured,Attack date,Health transportation stolen/highjacked,Health transportation damaged,Total number of attacks on facilities which reported destruction,Total health worker kidnapped,Health transportation destroyed,Total health worker arrested ,Total number of attacks on facilities which reported damage,Total health worker killed,Country
143,NonStateArmedGroups,0.0,2018-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Indonesia
144,NoInformation,0.0,2018-01-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
145,NonStateArmedGroups,0.0,2018-01-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Iraq
146,NoInformation,0.0,2018-01-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
147,NoInformation,0.0,2018-01-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
148,NoInformation,0.0,2018-01-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
149,StateActor,0.0,2018-02-08 00:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Iraq
150,NoInformation,0.0,2018-03-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Iraq
151,NonStateArmedGroups,1.0,2018-05-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Iraq
152,NonStateArmedGroups,0.0,2018-06-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
153,NoInformation,1.0,2018-06-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
154,NoInformation,0.0,2018-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Iraq
155,NoInformation,1.0,2018-12-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
156,NoInformation,0.0,2018-01-08 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Libya
157,NoInformation,0.0,2018-01-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
158,NoInformation,0.0,2018-02-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
159,NoInformation,0.0,2018-02-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
160,NonStateArmedGroups,0.0,2018-02-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
161,NoInformation,0.0,2018-02-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
162,NoInformation,0.0,2018-02-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
163,NoInformation,1.0,2018-02-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Libya
164,NoInformation,0.0,2018-03-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
165,NoInformation,0.0,2018-03-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
166,NoInformation,0.0,2018-03-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
